"subject_id"	"block"	"item"	"BlankInterval[CalculatedDuration]"	"BlankInterval[Duration]"	"BlankInterval[OffsetTime]"	"BlankInterval[OnsetTime]"	"BlockId"	"Congruency"	"CorFeedback[CalculatedDuration]"	"CorFeedback[Duration]"	"CorFeedback[OffsetTime]"	"CorFeedback[OnsetTime]"	"EngineType"	"Exit[OnsetTime]"	"IncFeedback[Duration]"	"Init[CalculatedDuration]"	"Init[OffsetTime]"	"Init[OnsetTime]"	"InitPost[CalculatedDuration]"	"InitPost[Duration]"	"InitPost[OffsetTime]"	"InitPost[OnsetTime]"	"InitPre[CalculatedDuration]"	"InitPre[OffsetTime]"	"InitPre[OnsetTime]"	"SimpleRTBLock[InterTrialDelay]"	"SimpleRTBLock[RefreshPeriod]"	"SimpleRTBLock[TrialNr]"	"SimpleRTBLockStroopItem[Resp]"	"StroopItem[ACC]"	"StroopItem[Allowable]"	"StroopItem[CalculatedDuration]"	"StroopItem[CRESP]"	"StroopItem[EndAction]"	"StroopItem[OffsetTime]"	"StroopItem[OnsetTime]"	"StroopItem[RESP]"	"StroopItem[RT]"	"StroopItem[RTTime]"	"undefined[OnsetTime]"
"1"	"sub_21"	"four"	"eight"	"504.3398438"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"incon"	"499.8149414"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"43.26513672"	"1.4605E+12"	"1.4605E+12"	"299.1999512"	"284.8549805"	"1.4605E+12"	"1.4605E+12"	"706.5300293"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"27"	""	"1"	"rjvb"	"2201.35498"	"b"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"b"	"2189.340088"	"1.4605E+12"	"1.4605E+12"
"2"	"sub_21"	"four"	"five"	"499.994873"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"incon"	"499.7749023"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"45.06005859"	"1.4605E+12"	"1.4605E+12"	"343.3649902"	"328.8649902"	"1.4605E+12"	"1.4605E+12"	"661.2849121"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"25"	""	"0"	"rjvb"	"1100.205078"	"r"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"j"	"1086.910156"	"1.4605E+12"	"1.4605E+12"
"3"	"sub_21"	"four"	"four"	"500.3950195"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"con"	"500.3498535"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"46.08007813"	"1.4605E+12"	"1.4605E+12"	"404.5549316"	"394.4899902"	"1.4605E+12"	"1.4605E+12"	"598.2099609"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"28"	""	"1"	"rjvb"	"1039.744873"	"b"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"b"	"1039.199951"	"1.4605E+12"	"1.4605E+12"
"4"	"sub_21"	"four"	"one"	"498.6999512"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"con"	"500.8901367"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"31.69506836"	"1.4605E+12"	"1.4605E+12"	"223.1101074"	"210.3552246"	"1.4605E+12"	"1.4605E+12"	"777.0551758"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"30"	""	"1"	"rjvb"	"1266.870117"	"r"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"r"	"1255.584961"	"1.4605E+12"	"1.4605E+12"
"5"	"sub_21"	"four"	"seven"	"500.880127"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"incon"	"499.6350098"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"43.33496094"	"1.4605E+12"	"1.4605E+12"	"427.1499023"	"408.619873"	"1.4605E+12"	"1.4605E+12"	"582.0598145"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"26"	""	"1"	"rjvb"	"1916.665039"	"v"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"v"	"1901.405029"	"1.4605E+12"	"1.4605E+12"
"6"	"sub_21"	"four"	"six"	"499.7949219"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"incon"	"499.7800293"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"39.69506836"	"1.4605E+12"	"1.4605E+12"	"453.6999512"	"439.0349121"	"1.4605E+12"	"1.4605E+12"	"554.8950195"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"31"	""	"1"	"rjvb"	"1418.170166"	"j"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"j"	"1407.920166"	"1.4605E+12"	"1.4605E+12"
"7"	"sub_21"	"four"	"three"	"499.8598633"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"con"	"502.3598633"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"38.87988281"	"1.4605E+12"	"1.4605E+12"	"339.4399414"	"322.8349609"	"1.4605E+12"	"1.4605E+12"	"670.625"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"32"	""	"1"	"rjvb"	"2217.795166"	"v"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"v"	"2217.52002"	"1.4605E+12"	"1.4605E+12"
"8"	"sub_21"	"four"	"two"	"500.5549316"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"con"	"499.9001465"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"44.625"	"1.4605E+12"	"1.4605E+12"	"273.8950195"	"259.4001465"	"1.4605E+12"	"1.4605E+12"	"730.1850586"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"29"	""	"1"	"rjvb"	"967.1000977"	"j"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"j"	"960.2949219"	"1.4605E+12"	"1.4605E+12"
"9"	"sub_21"	"one"	"eight"	"500.0100098"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"incon"	"499.8449707"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"50.83496094"	"1.4605E+12"	"1.4605E+12"	"268.4650879"	"261.0449219"	"1.4605E+12"	"1.4605E+12"	"730.4350586"	"1.4605E+12"	"1.4605E+12"	"1000"	"16.67504883"	"6"	"\u0000"	"1"	"rjvb"	"1467.060059"	"b"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"b"	"1450.790039"	"1.4605E+12"	"1.4605E+12"
"10"	"sub_21"	"one"	"five"	"499.5249023"	"500"	"1.4605E+12"	"1.4605E+12"	"SimpleRTBLock"	"incon"	"509.5551758"	"500"	"1.4605E+12"	"1.4605E+12"	"native-highres"	"1.4605E+12"	"500"	"44.07006836"	"1.4605E+12"	"1.4605E+12"	"3030.484863"	"3000"	"1.4605E+12"	"1.4605E+12"	"NaN"	"1.4605E+12"	"undefined"	"1000"	"16.67504883"	"1"	"\u0000"	"1"	"rjvb"	"2283.900146"	"r"	"TERMINATE"	"1.4605E+12"	"1.4605E+12"	"r"	"2280.960205"	"1.4605E+12"	"1.4605E+12"
